"","UNITID","INSTNM","STABBR","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","FIRST_GEN","MARRIED","CITY","ZIP","CONTROL","PCTFLOAN","HIGHDEG","PREDDEG","ICLEVEL","DEBT_MDN","MN_EARN_WNE_P10","GENDER_DIV","RACE_DIV","MARITAL_STATUS_DIV","FIRST_GEN_DIV","DIV_SCORE"
"94",114415,"Fashion Institute of Design & Merchandising-Orange County","CA",0.0641,0.9359,0.4551,0.0192,0.2564,0.1154,0.0064,0.0256,0.0641,0.3405762872,0.0307298335,"Irvine","92614-5610",3,0.771,3,2,2,12000,41800,0.246911110577769,0.850045296128235,0.904646005003693,0.941958627863565,0.735890259893315
"202",121901,"Riverside City College","CA",0.4409,0.5591,0.2194,0.0831,0.5642,0.0625,0.0027,0.0036,0.0404,0.562490439,0.0852731044,"Riverside","92506",1,0.0213,2,2,2,4500,34700,0.986958151330421,0.739036213177555,0.971702878039536,0.995257389186437,0.923238657933487
"86",113980,"El Camino Community College District","CA",0.4832,0.5168,0.1354,0.1539,0.4962,0.1302,0.0014,0.0049,0.0447,0.583488806,0.0569578758,"Torrance","90506",1,0,2,2,2,3873,34900,0.999123825981216,0.653340194487972,0.941824656143786,0.990360765893954,0.896162360626732
"42",110662,"University of California-Los Angeles","CA",0.4432,0.5568,0.2784,0.0279,0.1964,0.2997,0.0014,0.0032,0.0476,0.3685678427,0.0178357673,"Los Angeles","90095-1405",1,0.3626,4,3,1,15000,72600,0.987987647802365,0.666981707783578,0.883017596085291,0.959259589447223,0.874311635279614
"378",457077,"Milan Institute-Bakersfield","CA",0.0461,0.9539,0.3862,0.0893,0.4496,0.0144,0.0144,0.0202,0,0.5726681128,0.1839879154,"Bakersfield","93301",3,0.6819,1,1,3,8971,17700,0.183132490119842,0.782638082297138,0.992568725251292,0.993098661941721,0.737859489902498
"366",450094,"Argosy University-The Art Institute of California-Sacramento","CA",0.565,0.435,0.2125,0.0373,0.2598,0.0302,0.002,0.007,0.0161,0.5099347495,0.1975711015,"Sacramento","95833",3,0.8363,3,3,1,10000,41300,0.982043712699403,0.711481610556107,0.985307305289883,0.999979756421547,0.919703096241735
"71",112394,"Cogswell College","CA",0.7545,0.2455,0.4168,0.0428,0.1697,0.1499,0.0016,0.0231,0.1071,0.3237179487,0.0300546448,"San Jose","95134",3,0.5887,4,3,1,12500,65800,0.736826789228628,0.749139190095953,0.903568251336131,0.930065446029243,0.829899919172489
"155",118356,"Marinello Schools of Beauty-Los Angeles","CA",0.1282,0.8718,0.2072,0.1765,0.5378,0.0311,0.0065,0.0017,0.0047,0.5654697135,0.1575203252,"Los Angeles","90023",3,0.7236,1,1,3,8555,18500,0.452983087729404,0.524022419260719,0.999676407516188,0.994667264811748,0.742837294829515
"216",122658,"San Joaquin Delta College","CA",0.4327,0.5673,0.2342,0.0933,0.4365,0.1669,0.0044,0.0048,0.0517,0.5815616181,0.1021025148,"Stockton","95207",1,0.0526,2,2,2,4500,34300,0.982943367093874,0.885349875926414,0.984414411856813,0.990881790828546,0.960897361426412
"319",423980,"Le Cordon Bleu College of Culinary Arts-Pasadena","CA",0.5033,0.4967,0.1842,0.1049,0.0435,0.1088,0.0106,0.0123,0.005,0.5189340813,0.1106337272,"Pasadena","91101",3,0.7417,2,1,2,11500,38900,0.999887638202211,0.499028752369941,0.989420981037893,0.999934980521169,0.872068088032804
"224",122852,"Santa Barbara Business College-Santa Maria","CA",0.1584,0.8416,0.198,0.0248,0.7376,0.005,0,0.0099,0.0149,0.6820809249,0.1837606838,"Santa Maria","93454",3,0.8786,3,2,1,16500,27600,0.538679978879662,0.319431015212585,0.992669354799942,0.944393291363934,0.698793410064031
"147",118143,"Lyles Fresno College of Beauty","CA",0.098,0.902,0.3529,0.0588,0.451,0.0392,0,0.0196,0.0784,0.6134453782,0.2147239264,"Fresno","93710",3,0.4239,1,1,3,6857,19000,0.359989759836157,0.829156495232202,0.972635492850088,0.980400580360198,0.785545582069661
"354",442930,"University of Antelope Valley","CA",0.3798,0.6202,0.2842,0.1886,0.4794,0.0199,0.004,0.008,0.0013,0.546875,0.1542497377,"Lancaster","93534",3,0.5263,4,1,1,8613,27800,0.944114145826333,0.567915046389819,0.999908620977787,0.997784602438055,0.877430603907999
"150",118198,"MTI College","CA",0.2775,0.7225,0.5108,0.099,0.2039,0.0873,0.0049,0.0029,0.0539,0.467230444,0.2420168067,"Sacramento","95841-9817",3,0.3483,2,1,2,8263.5,36800,0.805515888254212,0.853738506510174,0.944414660601187,0.995889522997921,0.899889644590874
"146",117946,"Loyola Marymount University","CA",0.426,0.574,0.4672,0.0579,0.2192,0.107,0.002,0.001,0.0768,0.1998933902,0.0191628845,"Los Angeles","90045-2659",2,0.4535,4,3,1,19500,64400,0.979263668218691,0.877758969917684,0.885345662765644,0.808763314272472,0.887782903793623
"80",113333,"De Anza College","CA",0.5165,0.4835,0.2063,0.0334,0.2547,0.3497,0.0015,0.0038,0.0467,0.5218736191,0.0667011375,"Cupertino","95014",1,0.0415,2,2,2,5501,48800,0.998630978095649,0.541204686916685,0.953307753337545,0.999851965144273,0.873248845873538
"226",122931,"Santa Clara University","CA",0.5041,0.4959,0.4841,0.0316,0.1718,0.1504,0.0013,0.0024,0.0676,0.1871244635,0.0165016502,"Santa Clara","95053",2,0.3672,4,3,1,19500,79500,0.999851157618522,0.830079284625124,0.880653665688471,0.792855641807321,0.875859937434859
"134",117645,"Long Beach City College","CA",0.4551,0.5449,0.1496,0.1333,0.5403,0.1133,0.0022,0.0072,0.0423,0.5653074434,0.058316885,"Long Beach","90808-1706",1,0.0408,2,1,2,4500,32100,0.992638242211875,0.675216874770208,0.94350202996308,0.994700297500643,0.901514361111452
"361",448433,"Universal Technical Institute of Northern California Inc","CA",0.9618,0.0382,0.3392,0.0333,0.3952,0.0493,0.01,0.0188,0.1081,0.5212620027,0.1720139157,"Sacramento","95834",3,0.6739,1,1,2,15188,37000,0.139544472711563,0.795500003243404,0.996937076075271,0.999872012355235,0.732963391096368
"185",120290,"Ohlone College","CA",0.536,0.464,0.1964,0.0379,0.1834,0.304,0.0019,0.0067,0.0458,0.4753004005,0.1009667025,"Fremont","94539-0390",1,0.013,2,1,2,9399,48700,0.994223907582521,0.58705925256806,0.983674920242823,0.99720712852374,0.890541302229286
"311",413848,"ITT Technical Institute-Oxnard","CA",0.7491,0.2509,0.3024,0.0825,0.4296,0.1065,0.0069,0.0034,0.0275,0.4972857507,0.2337406569,"Oxnard","93036",3,0.7404,3,2,1,13566,42800,0.747791124657995,0.926009159549014,0.954017663877175,0.999509074179081,0.906831755565816
"350",442204,"David's Academy of Beauty","CA",0.1667,0.8333,0,0.0111,0.5111,0.4556,0,0,0,0.7888198758,0.575,"Pico Rivera","90660",3,0.0479,1,1,3,1717.5,17200,0.560954215267444,-0.22795020562616,-0.196789353433529,0.851917734422442,0.247033097657549
"200",121707,"College of the Redwoods","CA",0.4615,0.5385,0.5772,0.0228,0.1609,0.0334,0.0694,0.0076,0.0717,0.4880889359,0.102393617,"Eureka","95501-9300",1,0.0404,2,2,2,4500,30400,0.994670914734636,0.551981952005129,0.984601180091935,0.99877533056031,0.882507344348002
"273",366711,"California State University-San Marcos","CA",0.3957,0.6043,0.323,0.0342,0.3965,0.0983,0.0041,0.0042,0.0542,0.4763217239,0.0728948471,"San Marcos","92096-0001",1,0.4107,4,3,1,12500,49300,0.958138170210723,0.924539470977559,0.959951765900292,0.997355788882507,0.959996298992771
"246",123961,"University of Southern California","CA",0.4945,0.5055,0.3644,0.0436,0.1353,0.225,0.0013,0.0017,0.0508,0.2332909784,0.0118962646,"Los Angeles","90089",2,0.3729,4,3,1,21062,81300,0.999950999215987,0.767163020940512,0.872311651356604,0.847365773466391,0.871697861244874
"264",245847,"Antioch University-Santa Barbara","CA",0.3576,0.6424,0.5152,0.0182,0.1939,0.0242,0.0121,0.0061,0,0.4664804469,0.2146226415,"Santa Barbara","93101",2,0.5,4,3,1,21916,38900,0.921150098401574,0.696358342635797,0.972721790428266,0.995754178112613,0.896496102394563
"29",110529,"California State Polytechnic University-Pomona","CA",0.563,0.437,0.2023,0.0329,0.3864,0.2459,0.0019,0.0024,0.0397,0.4800781837,0.0386630082,"Pomona","91768",1,0.3963,4,3,1,15000,54400,0.983099729595674,0.780463191385948,0.916855501500177,0.997867591669312,0.919571503537778
"145",117928,"Argosy University-The Art Institute of California-San Francisco","CA",0.5361,0.4639,0.1473,0.0703,0.2947,0.0922,0.0029,0.0133,0.076,0.5099347495,0.1975711015,"San Francisco","94102-4908",3,0.8221,4,3,1,10000,41300,0.994193467095474,0.745388486195975,0.985307305289883,0.999979756421547,0.93121725375072
"188",120661,"Concorde Career College-San Diego","CA",0.2492,0.7508,0.1727,0.1603,0.4302,0.1241,0.0062,0.0403,0.0403,0.5115303983,0.238793806,"San Diego","92113-1964",3,0.4138,2,1,2,9500,27800,0.752390278244452,0.563355664649286,0.948262566320838,0.999994838849437,0.816000837016003
"287",377722,"Bellus Academy-Poway","CA",0.019,0.981,0.5528,0.0163,0.2276,0.0569,0.0163,0.0163,0.0894,0.4306784661,0.2685788787,"Poway","92064",3,0.5732,1,1,2,8764,22800,0.0822213155410487,0.753133516345811,0.907447082056304,0.986743175727103,0.682386272417567
"356",445364,"North-West College-Riverside","CA",0.129,0.871,0.0905,0.0724,0.5045,0.0271,0,0.0136,0,0.5852918878,0.1893258427,"Riverside","92503",3,0.94,1,1,3,8698,23200,0.455347285556569,0.521768142805578,0.990007492012495,0.989860186624513,0.739245776749789
"12",109730,"Associated Technical College-San Diego","CA",0.8319,0.1681,0.2353,0.3193,0.4454,0,0,0,0,0.56,0.1049562682,"San Diego","92101",3,0.8579,1,1,3,7000,21900,0.554036024576393,-0.168505375295508,0.986196771897298,0.995724141302003,0.591862890620046
"179",119845,"Newberry School of Beauty","CA",0.041,0.959,0.459,0.0574,0.4098,0.0492,0.0082,0,0.0082,0.5905511811,0.1104651163,"Granada Hills","91344-7401",3,0.3959,1,1,3,5687.5,24400,0.164590633450135,0.877951523659868,0.989331397597157,0.988327697717678,0.75505031310621
"325",432533,"Argosy University-The Art Institute of California-Los Angeles","CA",0.5787,0.4213,0.0634,0.0327,0.3886,0.0167,0.0014,0.0042,0.0097,0.5099347495,0.1975711015,"Santa Monica","90405-3035",3,0.7998,3,3,1,10000,41300,0.973949623193971,0.506968898852768,0.985307305289883,0.999979756421547,0.866551395939542
"77",113193,"Cuesta College","CA",0.4732,0.5268,0.6152,0.0127,0.2701,0.0323,0.0056,0.0017,0.0509,0.4402257568,0.1195700851,"San Luis Obispo","93403-8106",1,0.0514,2,2,2,6500,38700,0.99753980063681,0.728962109653432,0.993628406420068,0.989634601788377,0.927441229624672
"93",114390,"Fashion Institute of Design & Merchandising-San Francisco","CA",0.0778,0.9222,0.351,0.0342,0.2372,0.1935,0.0057,0.0228,0.0398,0.3405762872,0.0307298335,"San Francisco","94108-5805",3,0.6295,3,2,1,12000,41800,0.293716539464631,0.856997849578072,0.904646005003693,0.941958627863565,0.74932975547749
"331",436438,"Argosy University-Orange County","CA",0.4459,0.5541,0.2613,0.1306,0.4685,0.0856,0.009,0.0225,0,0.5099347495,0.1975711015,"Orange","92868",3,0.652,4,3,1,10000,41300,0.98914218627498,0.75317564912731,0.985307305289883,0.999979756421547,0.93190122427843
