"","LATITUDE","LONGITUDE","UNITID","INSTNM","STABBR","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","FIRST_GEN","MARRIED","CITY","ZIP","CONTROL","PCTFLOAN","HIGHDEG","PREDDEG","ICLEVEL","DEBT_MDN","MN_EARN_WNE_P10","GENDER_DIV","RACE_DIV","MARITAL_STATUS_DIV","FIRST_GEN_DIV","DIV_SCORE"
"274",34.14705,-117.573086,111939,"Chaffey College","CA",0.4179,0.5821,0.1835,0.0841,0.6032,0.0566,0.0021,0.0031,0.0328,0.5838965619,0.0974208807,"Rancho Cucamonga","91737-3002",1,0,2,2,2,3500,34000,0.998337493634271,0.836009930684286,0.981256076640366,0.990248671687524,0.951463043161612
"275",33.793678,-117.851481,111948,"Chapman University","CA",0.404,0.596,0.6049,0.0132,0.1431,0.1029,0.0027,0.0032,0.0602,0.1615541922,0.0078662734,"Orange","92866",2,0.6461,4,3,1,19000,52200,0.999846835054957,0.364133053542616,0.864780713959091,0.759089496642434,0.746962524799774
"276",33.925658,-118.242791,111966,"Charles R Drew University of Medicine and Science","CA",0.5362,0.4638,0.087,0.3188,0.2029,0.1014,0,0,0.2029,0.425,0.0895522388,"Los Angeles","90059",2,0.7529,4,2,1,23750,63900,0.920215151298588,-0.575602430741939,0.975291722107815,0.984854950855132,0.576189848379899
"277",33.6535,-117.81063,112075,"Concordia University-Irvine","CA",0.3646,0.6354,0.4628,0.0324,0.1783,0.0626,0.0042,0.0048,0.0387,0.3009367681,0.0493697479,"Irvine","92612-3203",2,0.6581,4,3,1,17750,47700,0.995359846070872,0.701782335396309,0.932007928426716,0.91223407031412,0.885346045052004
"278",32.84281,-116.978151,112084,"San Diego Christian College","CA",0.4979,0.5021,0.4574,0.1372,0.1989,0.0223,0.0043,0.0128,0.0383,0.3996062992,0.1784452297,"Santee","92071",2,0.8845,4,3,1,15544,37000,0.958296326112276,0.700943462460121,0.994827597427735,0.974873330697474,0.907235179174401
"280",34.135487,-117.885266,112172,"Citrus College","CA",0.4642,0.5358,0.1992,0.0394,0.5962,0.086,0.0019,0.0014,0.0289,0.5652489125,0.0740034331,"Glendora","91741-1899",1,0.0237,2,2,2,5500,32400,0.981676240361491,0.83625984297947,0.961087175451972,0.994712187222167,0.943433861503775
"282",37.725953,-122.451155,112190,"City College of San Francisco","CA",0.4697,0.5303,0.2317,0.079,0.2333,0.3421,0.0024,0.007,0.046,0.5878166213,0.1009458578,"San Francisco","94112-1898",1,0.0521,2,1,2,6033,42900,0.978507898698885,0.315862402822903,0.983661188758153,0.989137966501876,0.816792364195454
"285",36.27164,-119.312151,112288,"Milan Institute-Visalia","CA",0.0966,0.9034,0.1477,0.0284,0.7727,0.0142,0.0114,0.0114,0,0.6223529412,0.1821164889,"Visalia","93277",3,0.6195,1,1,3,8919,26100,0.620980261118297,0.430141018339217,0.993377047186179,0.976764310578982,0.755315659305669
"287",33.609771,-117.861844,112385,"Coastline Community College","CA",0.5852,0.4148,0.3216,0.1204,0.262,0.2224,0.0076,0.0037,0.0371,0.5541880342,0.4221871714,"Fountain Valley","92708-2597",1,0.0391,2,2,2,6000,36800,0.853640433403725,0.778249555348498,0.509822199131306,0.996719373946777,0.784607890457577
"288",37.413664,-121.940553,112394,"Cogswell College","CA",0.7545,0.2455,0.4168,0.0428,0.1697,0.1499,0.0016,0.0231,0.1071,0.3237179487,0.0300546448,"San Jose","95134",3,0.5887,4,3,1,12500,65800,0.469358330261796,0.5872007991359,0.903568251336131,0.930065446029243,0.722548206690768
"289",32.821962,-117.136493,112446,"Coleman University","CA",0.9102,0.0898,0.4922,0.0801,0.1875,0.1406,0.0078,0.0078,0.0039,0.3727598566,0.284375,"San Diego","92123-1506",2,0.7938,4,2,1,19000,47100,-0.0952636912659994,0.67529227286992,0.881018330049369,0.96158767124042,0.605658645723427
